clade	inclusive_count	exclusive_count
auto.lineage4.8.4.2.3	13	13
auto.lineage4.8.4.2.4	11	11
auto.lineage4.8.4.3	147	40
auto.lineage4.8.4.3.1	42	22
auto.lineage4.8.4.3.1.1	20	20
auto.lineage4.8.4.3.2	31	5
auto.lineage4.8.4.3.2.1	15	15
auto.lineage4.8.4.3.2.2	11	11
auto.lineage4.8.4.3.3	21	21
auto.lineage4.8.4.3.4	13	13
auto.lineage4.8.4.4	111	23
auto.lineage4.8.4.4.1	35	35
auto.lineage4.8.4.4.2	32	16
auto.lineage4.8.4.4.2.1	16	16
auto.lineage4.8.4.4.3	21	4
auto.lineage4.8.4.4.3.1	17	17
auto.lineage4.8.4.5	114	47
auto.lineage4.8.4.5.1	21	10
auto.lineage4.8.4.5.1.1	11	11
auto.lineage4.8.4.5.2	12	12
auto.lineage4.8.4.5.3	11	11
auto.lineage4.8.4.5.4	12	12
auto.lineage4.8.4.5.5	11	11
auto.lineage4.8.4.6	63	31
auto.lineage4.8.4.6.1	20	4
auto.lineage4.8.4.6.1.1	16	16
auto.lineage4.8.4.6.2	12	12
auto.lineage4.8.4.7	28	28
auto.lineage4.8.4.8	22	10
auto.lineage4.8.4.8.1	12	12
auto.lineage4.8.4.9	35	8
auto.lineage4.8.4.9.1	13	13
auto.lineage4.8.4.9.2	14	14
auto.lineage4.8.40	25	11
auto.lineage4.8.40.1	14	14
auto.lineage4.8.41	27	8
auto.lineage4.8.41.1	19	19
auto.lineage4.8.42	32	13
auto.lineage4.8.42.1	19	4
auto.lineage4.8.42.1.1	15	15
auto.lineage4.8.43	29	16
auto.lineage4.8.43.1	13	13
auto.lineage4.8.44	22	11
auto.lineage4.8.44.1	11	11
auto.lineage4.8.45	25	6
auto.lineage4.8.45.1	19	8
auto.lineage4.8.45.1.1	11	11
auto.lineage4.8.46	68	32
auto.lineage4.8.46.1	23	8
auto.lineage4.8.46.1.1	15	15
auto.lineage4.8.46.2	13	13
auto.lineage4.8.47	36	11
auto.lineage4.8.47.1	14	14
auto.lineage4.8.47.2	11	11
auto.lineage4.8.48	27	16
auto.lineage4.8.48.1	11	11
auto.lineage4.8.49	22	10
auto.lineage4.8.49.1	12	12
auto.lineage4.8.5	465	90
auto.lineage4.8.5.1	61	14
auto.lineage4.8.5.1.1	33	17
auto.lineage4.8.5.1.1.1	16	16
auto.lineage4.8.5.1.2	14	14
auto.lineage4.8.5.10	11	11
auto.lineage4.8.5.11	13	13
auto.lineage4.8.5.2	53	41
auto.lineage4.8.5.2.1	12	12
auto.lineage4.8.5.3	72	16
auto.lineage4.8.5.3.1	32	2
auto.lineage4.8.5.3.1.1	19	19
auto.lineage4.8.5.3.1.2	11	11
auto.lineage4.8.5.3.2	13	13
auto.lineage4.8.5.3.3	11	11
auto.lineage4.8.5.4	48	6
auto.lineage4.8.5.4.1	29	17
auto.lineage4.8.5.4.1.1	12	12
auto.lineage4.8.5.4.2	13	13
auto.lineage4.8.5.5	46	24
auto.lineage4.8.5.5.1	22	22
auto.lineage4.8.5.6	30	7
auto.lineage4.8.5.6.1	11	11
auto.lineage4.8.5.6.2	12	12
auto.lineage4.8.5.7	13	13
auto.lineage4.8.5.8	16	4
auto.lineage4.8.5.8.1	12	12
auto.lineage4.8.5.9	12	12
auto.lineage4.8.50	26	10
auto.lineage4.8.50.1	16	16
auto.lineage4.8.51	16	16
auto.lineage4.8.52	22	6
auto.lineage4.8.52.1	16	16
auto.lineage4.8.53	26	14
auto.lineage4.8.53.1	12	12
auto.lineage4.8.54	31	8
auto.lineage4.8.54.1	12	12
auto.lineage4.8.54.2	11	11
auto.lineage4.8.55	22	10
auto.lineage4.8.55.1	12	12
auto.lineage4.8.56	19	6
auto.lineage4.8.56.1	13	13
auto.lineage4.8.57	14	14
auto.lineage4.8.58	15	4
auto.lineage4.8.58.1	11	11
auto.lineage4.8.59	14	14
auto.lineage4.8.6	624	85
auto.lineage4.8.6.1	275	51
auto.lineage4.8.6.1.1	117	13
auto.lineage4.8.6.1.1.1	44	33
auto.lineage4.8.6.1.1.1.1	11	11
auto.lineage4.8.6.1.1.2	32	32
auto.lineage4.8.6.1.1.3	15	15
auto.lineage4.8.6.1.1.4	13	13
auto.lineage4.8.6.1.2	62	41
auto.lineage4.8.6.1.2.1	21	21
auto.lineage4.8.6.1.3	20	20
auto.lineage4.8.6.1.4	11	11
auto.lineage4.8.6.1.5	14	14
auto.lineage4.8.6.2	87	45
auto.lineage4.8.6.2.1	27	15
auto.lineage4.8.6.2.1.1	12	12
auto.lineage4.8.6.2.2	15	15
auto.lineage4.8.6.3	27	27
auto.lineage4.8.6.4	40	8
auto.lineage4.8.6.4.1	17	17
auto.lineage4.8.6.4.2	15	15
auto.lineage4.8.6.5	39	14
auto.lineage4.8.6.5.1	14	14
auto.lineage4.8.6.5.2	11	11
auto.lineage4.8.6.6	23	9
auto.lineage4.8.6.6.1	14	14
auto.lineage4.8.6.7	18	7
auto.lineage4.8.6.7.1	11	11
auto.lineage4.8.6.8	13	13
auto.lineage4.8.6.9	17	6
auto.lineage4.8.6.9.1	11	11
auto.lineage4.8.60	14	2
auto.lineage4.8.60.1	12	12
auto.lineage4.8.61	16	3
auto.lineage4.8.61.1	13	13
auto.lineage4.8.62	17	17
auto.lineage4.8.63	20	20
auto.lineage4.8.7	374	41
auto.lineage4.8.7.1	114	57
auto.lineage4.8.7.1.1	57	45
auto.lineage4.8.7.1.1.1	12	12
auto.lineage4.8.7.2	79	20
auto.lineage4.8.7.2.1	19	19
auto.lineage4.8.7.2.2	12	12
auto.lineage4.8.7.2.3	16	16
auto.lineage4.8.7.2.4	12	12
auto.lineage4.8.7.3	111	34
auto.lineage4.8.7.3.1	34	21
auto.lineage4.8.7.3.1.1	13	13
auto.lineage4.8.7.3.2	21	4
auto.lineage4.8.7.3.2.1	17	17
auto.lineage4.8.7.3.3	11	11
auto.lineage4.8.7.3.4	11	11
auto.lineage4.8.7.4	15	4
auto.lineage4.8.7.4.1	11	11
auto.lineage4.8.7.5	14	14
auto.lineage4.8.8	581	40
auto.lineage4.8.8.1	160	20
auto.lineage4.8.8.1.1	63	15
auto.lineage4.8.8.1.1.1	23	10
auto.lineage4.8.8.1.1.1.1	13	13
auto.lineage4.8.8.1.1.2	11	11
auto.lineage4.8.8.1.1.3	14	14
auto.lineage4.8.8.1.2	26	13
auto.lineage4.8.8.1.2.1	13	13
auto.lineage4.8.8.1.3	22	6
auto.lineage4.8.8.1.3.1	16	16
auto.lineage4.8.8.1.4	29	15
auto.lineage4.8.8.1.4.1	14	14
auto.lineage4.8.8.2	116	39
auto.lineage4.8.8.2.1	46	16
auto.lineage4.8.8.2.1.1	19	6
auto.lineage4.8.8.2.1.1.1	13	13
auto.lineage4.8.8.2.1.2	11	11
auto.lineage4.8.8.2.2	20	20
auto.lineage4.8.8.2.3	11	11
auto.lineage4.8.8.3	139	24
auto.lineage4.8.8.3.1	86	21
auto.lineage4.8.8.3.1.1	29	18
auto.lineage4.8.8.3.1.1.1	11	11
auto.lineage4.8.8.3.1.2	18	7
auto.lineage4.8.8.3.1.2.1	11	11
auto.lineage4.8.8.3.1.3	18	7
auto.lineage4.8.8.3.1.3.1	11	11
auto.lineage4.8.8.3.2	18	6
auto.lineage4.8.8.3.2.1	12	12
auto.lineage4.8.8.3.3	11	11
auto.lineage4.8.8.4	77	32
auto.lineage4.8.8.4.1	24	12
auto.lineage4.8.8.4.1.1	12	12
auto.lineage4.8.8.4.2	21	10
auto.lineage4.8.8.4.2.1	11	11
auto.lineage4.8.8.5	36	24
auto.lineage4.8.8.5.1	12	12
auto.lineage4.8.8.6	13	13
auto.lineage4.8.9	269	16
auto.lineage4.8.9.1	110	24
auto.lineage4.8.9.1.1	37	21
auto.lineage4.8.9.1.1.1	16	16
auto.lineage4.8.9.1.2	34	19
auto.lineage4.8.9.1.2.1	15	15
auto.lineage4.8.9.1.3	15	3
auto.lineage4.8.9.1.3.1	12	12
auto.lineage4.8.9.2	68	18
auto.lineage4.8.9.2.1	25	2
auto.lineage4.8.9.2.1.1	12	12
auto.lineage4.8.9.2.1.2	11	11
auto.lineage4.8.9.2.2	14	14
auto.lineage4.8.9.2.3	11	11
auto.lineage4.8.9.3	22	10
auto.lineage4.8.9.3.1	12	12
auto.lineage4.8.9.4	27	2
auto.lineage4.8.9.4.1	11	11
auto.lineage4.8.9.4.2	14	14
auto.lineage4.8.9.5	15	15
auto.lineage4.8.9.6	11	11
lineage4.8	8262	405
lineage4.8.1	255	22
lineage4.8.2	158	53
lineage4.8.3	26	26
